state,year,yearly_avg_snow,yearly_max_temp,yearly_min_temp,yearly_avg_temp,yearly_avg_prcp,yearly_min_prcp,yearly_max_prcp,avg_snow_summer,avg_snow_winter,max_temp_summer,max_temp_winter,min_temp_summer,min_temp_winter,avg_temp_summer,avg_temp_winter,avg_prcp_summer,avg_prcp_winter,total pop,in-state pop,percentage,top1,top1 state
Maryland,2005,1.5383333333333333,87.0,24.9,55.04166666666666,4.045833333333334,0.71,8.71,0.0,3.692,87.0,61.6,39.9,24.9,66.62142857142857,38.83,4.518571428571429,3.3840000000000003,764632,599001,21.66153129871624,27107,Virginia
Maryland,2006,0.4166666666666667,90.2,24.6,56.69166666666666,3.8174999999999994,0.16,7.77,0.0,1.0,90.2,60.8,39.8,24.6,66.38857142857142,43.116,4.654285714285714,2.646,802399,621491,22.545890510830645,22977,Virginia
Maryland,2007,0.9216666666666665,88.2,20.3,56.27666666666667,3.084166666666667,0.9,5.3,0.05714285714285715,2.1320000000000006,88.2,58.0,39.4,20.3,68.0142857142857,39.843999999999994,3.144285714285714,3.0,733841,581967,20.69576379624469,21319,District of Columbia 
Maryland,2008,0.2833333333333334,87.7,23.9,55.507500000000014,3.5566666666666666,1.42,6.2,0.0,0.68,87.7,58.4,40.7,23.9,66.19000000000001,40.552,3.9757142857142855,2.9699999999999998,704204,543559,22.812281668380187,23530,District of Columbia 
Maryland,2009,1.8941666666666668,86.5,21.4,54.95083333333333,4.456666666666667,0.26,7.82,0.0,4.546,86.5,60.0,42.3,21.4,66.18142857142855,39.228,5.268571428571429,3.3199999999999994,756786,581828,23.118556632918686,22050,Virginia
Maryland,2010,3.6474999999999995,92.5,23.8,56.53916666666666,3.5958333333333337,1.51,6.17,0.0,8.754,92.5,58.5,44.4,23.8,69.57714285714285,38.286,3.881428571428571,3.196,5671000,5506516,2.9004408393581427,24765,Virginia
Maryland,2011,1.4416666666666667,92.9,22.2,57.62416666666666,3.9791666666666665,1.93,11.07,0.0,3.46,92.9,64.4,46.6,22.2,69.26142857142858,41.33200000000001,4.612857142857143,3.0919999999999996,5716326,5562347,2.6936707248676806,22089,Virginia
Maryland,2012,0.25833333333333336,92.8,27.2,58.75999999999999,3.2908333333333335,0.66,9.22,0.0,0.62,92.8,65.4,42.2,27.2,69.20285714285714,44.14,4.224285714285714,1.984,5773413,5618430,2.684426005899798,21213,District of Columbia 
Maryland,2013,0.8916666666666666,89.3,26.1,56.28916666666667,3.9874999999999994,1.58,9.06,0.0,2.1399999999999997,89.3,58.7,42.7,26.1,67.96142857142857,39.948,4.492857142857142,3.28,5811676,5650151,2.7793187369701933,24308,Virginia
Maryland,2014,2.795833333333334,87.3,17.5,54.818333333333335,4.180833333333333,2.84,6.15,0.0,6.709999999999999,87.3,57.6,40.9,17.5,67.13714285714286,37.571999999999996,4.541428571428571,3.6759999999999997,5864291,5707504,2.6735883331846955,21822,Virginia
Maryland,2015,2.283333333333333,86.5,14.6,56.165833333333325,4.318333333333334,1.88,10.86,0.0,5.4799999999999995,86.5,63.1,42.6,14.6,67.81142857142858,39.862,4.5600000000000005,3.9800000000000004,5884473,5715579,2.8701635643497703,24293,Virginia
Maryland,2016,2.8791666666666664,89.6,22.2,57.01583333333334,3.6666666666666665,1.06,7.75,0.0,6.909999999999999,89.6,61.2,41.0,22.2,68.01857142857143,41.612,4.322857142857143,2.748,5905448,5746801,2.6864515613379325,23926,Virginia
Maryland,2017,0.7208333333333333,88.5,26.5,57.13666666666668,3.558333333333333,0.99,8.62,0.0,1.73,88.5,58.8,48.3,26.5,68.27142857142857,41.548,4.552857142857143,2.166,5939889,5774235,2.7888399934746233,23315,Virginia
Maryland,2018,1.0333333333333334,87.9,20.4,56.53666666666667,5.274166666666667,1.91,9.45,0.0,2.48,87.9,56.0,39.2,20.4,68.57142857142857,39.688,5.957142857142856,4.318,5928087,5764871,2.7532659355370415,26522,Virginia
Maryland,2019,1.6641666666666672,91.7,24.9,57.37166666666667,3.3108333333333326,0.52,5.14,0.0,3.9940000000000007,91.7,55.4,46.5,24.9,70.10857142857142,39.540000000000006,3.4985714285714287,3.048,5935517,5793751,2.388435581938353,23429,Virginia
Maryland,2021,1.1375,91.0,26.7,57.91500000000001,3.5775000000000006,0.89,6.56,0.0,2.7299999999999995,91.0,60.3,42.8,26.7,69.34,41.919999999999995,4.3999999999999995,2.426,6066824,5906808,2.6375579710240515,25305,Virginia
Maryland,2022,1.1158333333333335,90.2,21.5,56.73083333333333,4.02,2.11,5.48,0.0,2.678,90.2,63.1,41.3,21.5,67.82000000000001,41.205999999999996,4.607142857142857,3.198,6047083,5907299,2.3115938709622474,19478,Virginia
Maine,2005,9.398333333333333,81.0,-2.7,43.410833333333336,4.890833333333333,2.16,10.98,0.36714285714285716,22.042,81.0,49.5,29.6,-2.7,57.23857142857144,24.052,5.3999999999999995,4.178,181471,144489,20.379013726711158,6661,Massachusetts
